y,urban,StrFamilyType,str_prov,bloque,probabilidad_pobreza,probabilidad_pobreza_noreg,Excluded
1,0,adultos_y_mayores,Huetar Norte,2,0.3654148397299768,0.05739708270095999,False
1,0,bi-parental,Huetar Norte,1,0.7067998268682523,0.7146505489026047,False
0,1,solo_mayores,Central,2,0.06734745147741968,0.08315099762176408,True
0,1,adultos_y_mayores,Central,2,0.16182498298931378,0.03009877906079168,True
0,0,adultos_y_mayores,Chorotega,2,0.12593807707412633,0.013766979560214795,True
0,1,adultos_y_mayores,Central,1,0.06263861326265036,0.04122046416254135,True
0,1,adultos_y_mayores,Central,1,0.047342990569242085,0.0004406106528794251,True
0,1,adultos_y_mayores,Central,1,0.08387924754879762,0.0030226356105997818,True
0,0,bi-parental,Central,3,0.1928666652720184,0.021886775681363598,True
1,1,bi-parental,Pacífico Central,2,0.3606071407297737,0.3014178294930265,False
0,0,bi-parental,Huetar Norte,2,0.2700246302309933,0.3168707761008262,False
0,1,adultos_y_mayores,Pacífico Central,2,0.17716905134444227,0.12874440028816508,True
1,0,bi-parental,Central,1,0.17879434862317636,0.08708692254882335,True
0,0,bi-parental,Pacífico Central,1,0.10445722209335663,1.3442871637736761e-08,True
1,1,bi-parental,Central,2,0.5876956736558003,0.5903279374313455,False
0,1,bi-parental,Central,1,0.07987080035010624,0.00046651600006128213,True
0,0,bi-parental,Huetar Atlántica,3,0.6488313108915273,0.5303130961006274,False
0,1,adultos_y_mayores,Central,3,0.2818716507215628,0.5484987276656548,False
1,0,monoparental,Huetar Atlántica,2,0.4950000691382774,0.5464324375581845,False
0,1,adultos_y_mayores,Huetar Norte,2,0.27187868500354023,0.4523674684623333,False
0,1,adultos_y_mayores,Chorotega,2,0.2246413890963708,0.3324112763968272,False
0,1,adultos_y_mayores,Central,1,0.2435710803167388,0.0055012916637898895,False
1,0,bi-parental,Brunca,2,0.6043773434420804,0.31266190978520697,False
0,0,bi-parental,Huetar Norte,2,0.17781556613394767,0.08387910221815999,True
0,1,adultos_y_mayores,Central,1,0.01880622354751648,2.512977931933059e-06,True
0,0,bi-parental,Central,1,0.08059174530086972,0.027391718658071516,True
0,1,monoparental,Brunca,1,0.08685267190966292,0.004281560310154507,True
0,1,solo_mayores,Central,3,0.20502931664314286,0.2362828249950911,False
0,0,bi-parental,Central,3,0.22821264529217306,0.17452351381020278,False
1,1,bi-parental,Pacífico Central,3,0.7535865624608072,0.9964020784068738,False
1,1,bi-parental,Huetar Norte,1,0.3613416175950614,0.4914488458408957,False
0,0,solo_mayores,Huetar Norte,3,0.3614003961640277,0.218417447485732,False
1,1,adultos_y_mayores,Pacífico Central,2,0.3171823975473172,0.4324855945926149,False
0,1,bi-parental,Central,1,0.07108863826038757,0.18274388376760867,True
